file_name,y,yhat
Ainsworth_William-Harrison_Rookwood_1834,1.0,1.0
Baldwin_Louisa_How-he-left-the-Hotel_1894,0.0,0.0
Baldwin_Louisa_Many-Waters-Cannot-Quench-Love_1894,0.0,0.0
Baldwin_Louisa_My-Next-Door-Neighour_1894,0.0,0.0
Baldwin_Louisa_Sir-Nigel-Otterburnes-Case_1894,0.0,0.0
Baldwin_Louisa_The-Empty-Picture-Frame_1894,0.0,0.0
Baldwin_Louisa_The-Real-and-the-Counterfeit_1894,0.0,0.0
Baldwin_Louisa_The-Shadow-on-the-Blind_1894,0.0,0.0
Baldwin_Louisa_The-Ticking-of-the-Clock_1894,0.0,0.0
Baldwin_Louisa_The-Uncanny-Bairn_1894,0.0,0.0
Baldwin_Louisa_The-Weird-of-the-Walfords_1894,0.0,0.0
Beckford_William_Vathek_1786,1.0,0.0
Bennett_Arnold_Anna-and-the-Five-Towns_1902,1.0,1.0
Bennett_Arnold_Clayhanger_1910,1.0,1.0
Bennett_Arnold_Hilda-Lessways_1911,1.0,1.0
Bennett_Arnold_The-Old-Wives-Tale_1908,0.0,1.0
Birmingham_George_The-Red-Hand-of-Ulster_1912,0.0,1.0
Burnett_Frances-Hodgson_The-Secret-Garden_1911,1.0,1.0
Chesterton_G-K_The-Man-Who-Was-Thursday_1908,1.0,1.0
Childers_Erskine_The-Riddle-of-the-Sand_1903,1.0,1.0
Corelli_Marie_The-Sorrows-of-Satan_1895,0.0,1.0
Crockett_S-R_Cleg-Kelly_1896,1.0,1.0
Doyle_Arthur-Conan_A-Case-of-Identity_1891,0.0,0.0
Doyle_Arthur-Conan_A-Scandal-in-Bohemia_1891,0.0,0.0
Doyle_Arthur-Conan_A-Study-in-Scarlet_1887,0.0,1.0
Doyle_Arthur-Conan_Micah-Clarke_1889,1.0,1.0
Doyle_Arthur-Conan_Sir-Nigel_1906,0.0,1.0
Doyle_Arthur-Conan_The-Adventure-of-Black-Peter_1905,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-Charles-Augustus-Milverton_1905,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-Solitary-Cyclist_1905,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-the-Abbey-Grange_1905,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-the-Beryl-Coronet_1891,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-the-Blue-Carbuncle_1891,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-the-Copper-Beeches_1891,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-the-Dancing-Men_1905,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-the-Empty-House_1905,0.0,0.0
Doyle_Arthur-Conan_The-Adventure-of-the-Engineers-Thumb_1891,0.0,0.0
