language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_acc	mean_train_balanced_acc	mean_validation_acc	mean_validation_balanced_acc
language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_acc	mean_train_balanced_acc	mean_validation_acc	mean_validation_balanced_acc
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.542	0.636	0.532	0.628
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.542	0.636	0.532	0.628
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.542	0.636	0.532	0.628
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.542	0.636	0.532	0.628
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.542	0.636	0.534	0.629
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.542	0.636	0.532	0.628
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.542	0.636	0.532	0.628
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.542	0.636	0.532	0.628
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.541	0.638	0.524	0.622
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.541	0.638	0.524	0.622
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.541	0.638	0.524	0.622
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.541	0.638	0.524	0.622
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.541	0.639	0.526	0.623
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.542	0.639	0.526	0.623
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.542	0.639	0.526	0.623
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.542	0.64	0.524	0.622
