lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_f1,mean_validation_f1
eng,svc,book,[],ss_pca_0_95,0.1,0.381746412303316,0.2887644452393403
eng,svc,book_and_averaged_chunk,[],ss_pca_0_95,0.1,0.37422322390345497,0.270845106907765
eng,svc,book,[],k_best_f_reg_0_10,0.1,0.1540128505507665,0.12991232998659769
eng,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,0.1,0.19698344210554694,0.14904597569309475
eng,svc,book,[],k_best_mutual_info_0_10,0.1,0.15178691716907702,0.14064726000852953
eng,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,0.1,0.11021155116761289,0.0798497200891316
eng,svc,book,[],,0.1,0.1784978589536707,0.15981934976486967
eng,svc,book_and_averaged_chunk,[],,0.1,0.12381126635324466,0.10675800960288696
eng,svc,book,[],ss_pca_0_95,1.0,0.6508352875768342,0.291513864360084
eng,svc,book_and_averaged_chunk,[],ss_pca_0_95,1.0,0.6402500727267243,0.26573894069254983
eng,svc,book,[],k_best_f_reg_0_10,1.0,0.23220366175962157,0.19617174048647404
eng,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,1.0,0.28547120360397493,0.20797629219927521
eng,svc,book,[],k_best_mutual_info_0_10,1.0,0.22627128061848092,0.19464962053006357
eng,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,1.0,0.1967349215898412,0.14596179829840666
eng,svc,book,[],,1.0,0.22856252320902928,0.18183461391631528
eng,svc,book_and_averaged_chunk,[],,1.0,0.2082126511260583,0.1817243472225505
eng,svc,book,[],ss_pca_0_95,10.0,0.9228629485297971,0.29656701561976856
eng,svc,book_and_averaged_chunk,[],ss_pca_0_95,10.0,0.9235124131914217,0.30486334717712466
eng,svc,book,[],k_best_f_reg_0_10,10.0,0.29302331613290505,0.21194828270733762
eng,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,10.0,0.32870396951201863,0.23243486923259335
eng,svc,book,[],k_best_mutual_info_0_10,10.0,0.2909981322942043,0.2429049594738188
eng,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,10.0,0.25005170346852623,0.22763039384940767
eng,svc,book,[],,10.0,0.3063794667820045,0.21903112662139046
eng,svc,book_and_averaged_chunk,[],,10.0,0.2503768747866463,0.20236474182615533
eng,svc,book,[],ss_pca_0_95,100.0,1.0,0.2870141529975733
eng,svc,book_and_averaged_chunk,[],ss_pca_0_95,100.0,1.0,0.25648520627787097
eng,svc,book,[],k_best_f_reg_0_10,100.0,0.3169838412827846,0.21045561311187136
eng,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,100.0,0.35632672269515114,0.24640427740718215
eng,svc,book,[],k_best_mutual_info_0_10,100.0,0.31172813972066243,0.2120009618502863
eng,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,100.0,0.28463835337506693,0.20528630038393197
eng,svc,book,[],,100.0,0.33136944042234057,0.22973880499727442
eng,svc,book_and_averaged_chunk,[],,100.0,0.26478792590203915,0.21235704852779622
eng,svc,book,[],ss_pca_0_95,1000.0,1.0,0.27814967610772506
eng,svc,book_and_averaged_chunk,[],ss_pca_0_95,1000.0,1.0,0.30984966012057175
eng,svc,book,[],k_best_f_reg_0_10,1000.0,0.3957303384447728,0.2775806676678203
eng,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,1000.0,0.38959611678936273,0.2461364086227747
eng,svc,book,[],k_best_mutual_info_0_10,1000.0,0.3686526667644499,0.2572931447590847
eng,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,1000.0,0.2663756590945641,0.20400114403386505
eng,svc,book,[],,1000.0,0.4474544678620768,0.2726346575431782
eng,svc,book_and_averaged_chunk,[],,1000.0,0.25397336922826214,0.18487538387143101
eng,svc,book,[],ss_pca_0_95,10000.0,1.0,0.3141181250694148
eng,svc,book_and_averaged_chunk,[],ss_pca_0_95,10000.0,1.0,0.30784378544624846
eng,svc,book,[],k_best_f_reg_0_10,10000.0,0.5009923153556095,0.2921966872435754
eng,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,10000.0,0.4515040395230569,0.23646262733761192
eng,svc,book,[],k_best_mutual_info_0_10,10000.0,0.47072825937858354,0.24437294929750486
eng,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,10000.0,0.26613964882619534,0.20905384455673803
eng,svc,book,[],,10000.0,0.5679507177518817,0.2917879722290072
eng,svc,book_and_averaged_chunk,[],,10000.0,0.24904713241216558,0.20365284119169624
