lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_f1,mean_validation_f1
ger,svc,book,[],ss_pca_0_95,0.1,0.3476001262940661,0.1600572873354511
ger,svc,book_and_averaged_chunk,[],ss_pca_0_95,0.1,0.37863563214844626,0.2203708970323216
ger,svc,book,[],k_best_f_reg_0_10,0.1,0.1389427299820768,0.13031418502359157
ger,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,0.1,0.10411596030669251,0.09431097060655093
ger,svc,book,[],k_best_mutual_info_0_10,0.1,0.09745169870350248,0.07628660147566203
ger,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,0.1,0.1532125385864309,0.1415038231678229
ger,svc,book,[],,0.1,0.12050507746153959,0.10658335408790037
ger,svc,book_and_averaged_chunk,[],,0.1,0.10087821894664407,0.08441916658947367
ger,svc,book,[],ss_pca_0_95,1.0,0.7337710882915817,0.2922284566426991
ger,svc,book_and_averaged_chunk,[],ss_pca_0_95,1.0,0.7251231119744963,0.26913773313381706
ger,svc,book,[],k_best_f_reg_0_10,1.0,0.23539429031412393,0.184486694540795
ger,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,1.0,0.19833077797349713,0.18091351412344947
ger,svc,book,[],k_best_mutual_info_0_10,1.0,0.2335096562206723,0.1791636238964158
ger,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,1.0,0.20330359471728926,0.1929138902911309
ger,svc,book,[],,1.0,0.23471052582882432,0.20570960305306976
ger,svc,book_and_averaged_chunk,[],,1.0,0.18151337850063412,0.16298875087995554
ger,svc,book,[],ss_pca_0_95,10.0,0.959141145531575,0.2738492114185853
ger,svc,book_and_averaged_chunk,[],ss_pca_0_95,10.0,0.9628167042607306,0.2908568160020298
ger,svc,book,[],k_best_f_reg_0_10,10.0,0.27302824868175585,0.21333871821217448
ger,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,10.0,0.21780425814280527,0.16320277363176494
ger,svc,book,[],k_best_mutual_info_0_10,10.0,0.2701684765993953,0.21806350044691836
ger,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,10.0,0.22461075635134642,0.16984050499087416
ger,svc,book,[],,10.0,0.26488521057449,0.20863430915478287
ger,svc,book_and_averaged_chunk,[],,10.0,0.20780836741701897,0.15115636123156023
ger,svc,book,[],ss_pca_0_95,100.0,1.0,0.2997358982253792
ger,svc,book_and_averaged_chunk,[],ss_pca_0_95,100.0,1.0,0.2930261726518168
ger,svc,book,[],k_best_f_reg_0_10,100.0,0.3069363161828712,0.21477459580191396
ger,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,100.0,0.24333232129766408,0.17763712350850255
ger,svc,book,[],k_best_mutual_info_0_10,100.0,0.3056653602559842,0.21447185691709167
ger,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,100.0,0.2616719646410057,0.18336735675824858
ger,svc,book,[],,100.0,0.309087506596129,0.24253896636454855
ger,svc,book_and_averaged_chunk,[],,100.0,0.22717031318109118,0.17814876946443753
ger,svc,book,[],ss_pca_0_95,1000.0,1.0,0.2742851521976131
ger,svc,book_and_averaged_chunk,[],ss_pca_0_95,1000.0,1.0,0.3117114733429039
ger,svc,book,[],k_best_f_reg_0_10,1000.0,0.3864738354566037,0.23853513189015024
ger,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,1000.0,0.2839745359053876,0.21816427107002317
ger,svc,book,[],k_best_mutual_info_0_10,1000.0,0.3750703832371702,0.22670479254941245
ger,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,1000.0,0.28730746320568323,0.19454114644896392
ger,svc,book,[],,1000.0,0.3840566982582564,0.21419215413191384
ger,svc,book_and_averaged_chunk,[],,1000.0,0.23791411397829565,0.17673036140504175
ger,svc,book,[],ss_pca_0_95,10000.0,1.0,0.2611272467788831
ger,svc,book_and_averaged_chunk,[],ss_pca_0_95,10000.0,1.0,0.2778831934247144
ger,svc,book,[],k_best_f_reg_0_10,10000.0,0.5310770301182218,0.2545071562648949
ger,svc,book_and_averaged_chunk,[],k_best_f_reg_0_10,10000.0,0.2860330854471098,0.17796127806472653
ger,svc,book,[],k_best_mutual_info_0_10,10000.0,0.48878481504375,0.2357221278240514
ger,svc,book_and_averaged_chunk,[],k_best_mutual_info_0_10,10000.0,0.3260404927814895,0.20322590313882838
ger,svc,book,[],,10000.0,0.5235293218481155,0.24132875501128687
ger,svc,book_and_averaged_chunk,[],,10000.0,0.22430973172455393,0.15182382694759788
