lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_mse,mean_train_rmse,mean_train_mae,mean_train_r2,mean_train_corr,mean_validation_mse,mean_validation_rmse,mean_validation_mae,mean_validation_r2,mean_validation_corr,mean_p_value
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,5.044188766929858e-06,0.0016451161246287655,0.0011703546254644983,0.995033252749073,0.9989276598787755,0.0011342161307415152,0.033434459994365714,0.02480686400559564,-0.28426659157095274,-0.016173241609231125,0.23112666258816836
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,7.477551023478849e-06,0.0023099547229408386,0.0015398280872093925,0.9918293220256192,0.9978932638510726,0.0012371268550107394,0.03470931982307759,0.025891568581989953,-0.38654656502458873,0.06792576316866625,0.35054166125342895
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,4.557773467948701e-06,0.0017942949716094753,0.0012422518549383206,0.995192256443665,0.9986914871221761,0.0012033407809879828,0.03458867842207856,0.026159985686340863,-0.31113515595638525,-0.08322735682638638,0.19241418628531878
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.0003097936825825937,0.015918634475827656,0.012005188901694993,0.6753758929184612,0.8660174533650297,0.0011559547093502383,0.03371553022830169,0.024653672528732826,-0.21474019431096628,0.021821646231123242,0.4766542080735226
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,0.0005872222243654008,0.022823187733070044,0.016948083517349395,0.42492817482613654,0.7541142244539312,0.0010404908410293879,0.03155111798882388,0.023708217532690725,-0.1732914077526394,-0.03742188300782921,0.0599699762439159
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,0.0005424012371372107,0.023209300673325696,0.017677274667488037,0.4369659900298771,0.7915183104204363,0.00102429225495554,0.031585498328128646,0.023731764789089695,-0.07146691356213095,0.043984642541904526,0.21542369290866095
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.0004368707178601606,0.01983752952991051,0.015175032187474333,0.5545078122964261,0.8241915377949205,0.0010073401631984034,0.0313268985723427,0.023317928252072462,-0.12668161737452657,0.037611254699006655,0.093935880536178
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.00043353067123722407,0.020242010414849815,0.01557296323998667,0.562696834275049,0.8490173030334105,0.001109738271750677,0.03271834573516492,0.024325242863052345,-0.12099878346887927,-0.07338194941778631,0.14662075513071243
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,3.52694280278494e-05,0.00317085733895412,0.0024157397537641883,0.9636925851362446,0.9876264284209778,0.0011347108807004363,0.03345034445109156,0.025109883924532374,-0.261194878087769,0.06863072087561492,0.38805910521061754
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,4.681102669049788e-07,0.0006232037221502347,0.0004120492553830473,0.9995071621430217,0.9998953422374013,0.0016692227047239044,0.03941883164526719,0.029246121652158764,-0.7863288199517037,0.01581755286405135,0.617330910624182
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,4.110728624970239e-05,0.003550036562073045,0.002721069049724821,0.9588080168668951,0.9848740993385634,0.0013503555892460076,0.03656114003285875,0.026764191412982176,-0.45416438619641486,-0.022528727875972713,0.4040920503689552
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,8.65088321876481e-05,0.005864445753840287,0.004354577988930624,0.9122827272048972,0.9694546448693716,0.0012662050572768903,0.0353616138909451,0.02629852966143332,-0.34140808534767697,-0.04021921481719924,0.6184822927344434
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,1.2371337530306035e-05,0.001778995935431021,0.0013105334168550624,0.9856093187018494,0.9947129066150728,0.0012139381082295108,0.03435620590744003,0.026476519139970234,-0.32376881210136077,0.05347691358490629,0.23106068403597693
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,1.5691793556990887e-05,0.0020416330738825448,0.0015268697426936023,0.9823330405567873,0.9939924576725785,0.0011340691567179656,0.03274394171565981,0.025338155438820557,-0.2644349907642198,0.12320890194848935,0.3453688804965544
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,1.9303796113063803e-05,0.002265949929333962,0.0017546976360532137,0.9791340457829059,0.9922058234806392,0.0012798886089459634,0.03557917810799922,0.026572182689496272,-0.3820221627216751,-0.019111127442224457,0.32229310711553205
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,2.9912731058843457e-05,0.002666287673355001,0.0019578831973818267,0.9640996932906034,0.9855779842437361,0.0013538615980405635,0.03650658865191995,0.027522785112939617,-0.6444673781004779,0.040134248082378025,0.6121276653491374
