lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_mse,mean_train_rmse,mean_train_mae,mean_train_r2,mean_train_corr,mean_validation_mse,mean_validation_rmse,mean_validation_mae,mean_validation_r2,mean_validation_corr,mean_p_value
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,2.2184277707988968e-07,0.0004706835598168056,0.0003394141075128789,0.9996602015589444,0.9999318123250079,0.000930599516502939,0.030339653955239188,0.02290732705502836,-0.4340493641538735,-0.16573719147348848,0.12877020444056417
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,2.5369083021288515e-07,0.0005010032027240828,0.00035264592209698363,0.9996062377219015,0.9999118273615712,0.0008257913911992303,0.028485661046373074,0.021944927275354915,-0.30215941457367046,0.04095511406292701,0.1935591627789833
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,5.046776902072512e-05,0.004244568745513765,0.0031913250382692,0.9136527264544949,0.9667171868027815,0.0007395219273431711,0.027011762162969938,0.020703728085576828,-0.28326332881356964,0.1872139863374934,0.21331109912069657
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,8.282136586192944e-05,0.005885353382104485,0.004418608576904168,0.883577099299026,0.9525171428599994,0.000737337608108617,0.026717543521488592,0.021321778567975555,-0.1472977826060385,0.16326019518053125,0.28966822527775865
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,0.00045386947077066147,0.021272584590457923,0.015507761679692016,0.3025321248513043,0.6193504111166749,0.0007171999536167305,0.02649119263605946,0.02036865966403111,-0.1053569140106378,-0.0431343525382001,0.2467136871317406
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,0.000331355537093862,0.017596935665442414,0.012662652227417867,0.4828835040487506,0.7349812108628738,0.0007721817407965435,0.027597487797450315,0.021248216587933154,-0.28655298621243885,-0.11700786533149343,0.2098248772329625
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.000285311173423614,0.016252917546954466,0.011666034554988053,0.5690110894979755,0.8110680075593251,0.0007706563973569273,0.027418277496822453,0.02120880320394956,-0.1951225907238851,-0.10094519256592252,0.08194427846171956
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.0004109111984222217,0.02012328274985154,0.014563921428443588,0.3767953851886809,0.6871538705766765,0.0007243032551523552,0.026786158623304433,0.020463142818512723,-0.15576947441430528,-0.11684491448662918,0.1929296978409092
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,2.259005300799205e-07,0.0004727813802214981,0.000346837736058575,0.9996508408610285,0.9999100118075652,0.0008506950857578631,0.02861478461945654,0.021883495787795186,-0.3151986038295808,0.059238914389521856,0.09064390368378673
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,2.2349647730670213e-06,0.0010088600888654546,0.0007368559393306294,0.9965911722471812,0.9990544558741098,0.0008283933291246586,0.028722135603083298,0.020963034169088946,-0.3008647125965511,0.006741612760678774,0.7150584095297497
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,3.2507776151827455e-07,0.0005671095756517445,0.00040745879681321223,0.9995058974547056,0.9998918435584521,0.0007814969259330729,0.02773886285143623,0.020995208521729758,-0.22204028585334626,0.04814708107936751,0.4811080929904312
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,2.943657817829914e-07,0.000542515091800697,0.00039171388647157396,0.9995496028039984,0.9999012666588815,0.001030589475195443,0.03202750018264968,0.02476111999537124,-0.6932315701750899,-0.058353940055097586,0.29496925959023906
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,2.789539828082692e-05,0.003043226351194265,0.0019322394329946643,0.9601124564016725,0.9819723693019735,0.000757262013837302,0.02716858654420625,0.02099064015190647,-0.14517194975650205,0.0913024043092133,0.12404422395409388
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,3.320945148101545e-05,0.003582885902255696,0.0020702081881456666,0.9479644876017843,0.9735634956045331,0.0008862014789500003,0.029333392508193844,0.021972263531427803,-0.3962705127245112,0.10465496295059155,0.3212768645170865
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,6.56939506260382e-05,0.00572155860355483,0.003969398974844695,0.8931344094108189,0.951497480554063,0.0009364125115386195,0.030497134022664407,0.023191337536222555,-0.5255458095103954,0.010262028929262224,0.5913873730463092
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,9.192647756527818e-06,0.002670006343100184,0.0017446620171377293,0.9858837127653206,0.9952269064838827,0.0008580900756587396,0.028769464872513882,0.022778580340730548,-0.31675691701795794,0.032147722864455615,0.3241133524334099
