lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_mse,mean_train_rmse,mean_train_mae,mean_train_r2,mean_train_corr,mean_validation_mse,mean_validation_rmse,mean_validation_mae,mean_validation_r2,mean_validation_corr,mean_p_value
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,1.0576930742293525e-06,0.000967485569458032,0.0006654587104762786,0.9985435169774206,0.9996374022160348,0.0007068522906211475,0.02643134281065513,0.01957829604470845,-0.05997729515091248,0.2726935684472573,0.010028581748170404
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,3.376150105722572e-05,0.0033568874251453775,0.0025368651353483095,0.9510284425988982,0.9825987732707808,0.0007261375072165362,0.026624948133607496,0.020062441613253247,-0.03380171286386324,0.2412236833230333,0.03973052527896656
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,5.412761086459146e-06,0.002109191195537882,0.001331697728839763,0.9925882175995889,0.9984324719337241,0.0007997583464417106,0.02787760165450625,0.021176909001914487,-0.14211617713416388,0.13539818266771797,0.03427620803135884
eng,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.00010362726625655198,0.006760785484563858,0.004782871679395112,0.8592557033883516,0.9430653722146388,0.0009586022213438014,0.030620852216716888,0.02262855760811473,-0.3837239582791994,-0.02335292968447019,0.5232817272057154
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,0.00025472816207099943,0.015355553816079582,0.011937539276222289,0.6394116091928376,0.8717160010118743,0.0007548951107332892,0.02724607561858038,0.02063599730124748,-0.07918884595418149,0.016919962818050416,0.6859715963167735
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,0.0003689981197666715,0.018889005312834058,0.0144370889358385,0.47429912779458905,0.7778336332691035,0.0007738963453628097,0.027590484512646413,0.020706755067005426,-0.1117075732927599,0.04990971157179975,0.26488376128601887
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.0003195842894920762,0.017328470117882126,0.013321073101233922,0.554142819196835,0.8213797254424465,0.0007700869222308784,0.027691581881595394,0.020944725678450238,-0.12199515275498274,0.016517645546194108,0.4091889126429717
eng,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.0004838898000423931,0.021975679425567475,0.016682125236383388,0.31683783841376945,0.6771817622943167,0.0007910611105777033,0.028029779268397566,0.021150366250792314,-0.12771642720198792,0.024042204040144795,0.31272528190183724
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,3.7134834374971025e-06,0.0016059399716432175,0.0011152583172886917,0.9945857227483265,0.9987785268721773,0.0007825451975035045,0.027815196670445314,0.02112792620009103,-0.14884859918602744,0.13352615223462766,0.174181518088597
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,5.961452266870363e-05,0.006303695026011187,0.0048885650140436535,0.9162045304964981,0.973129950188629,0.0007639139262426656,0.027531931963432593,0.021271921347440777,-0.08990957926990432,0.17412057993634356,0.18343195036546264
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,3.121080405904723e-06,0.0016437755815054329,0.0011228819350686061,0.9954529726337011,0.9990852662392908,0.000750693498015385,0.027352935935540675,0.02077431938536592,-0.14951026327705666,0.20730670403842022,0.15079401089280733
eng,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,4.1225892495867445e-05,0.004227567273805058,0.003055437521533922,0.9448495202225724,0.9808570607681488,0.0008845618697065855,0.029622377002044852,0.02197218040679749,-0.32272821606028457,0.013361257429943188,0.21269384960403875
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,1.2083923045093397e-05,0.0017650243479777634,0.0013304603863275636,0.9814772705114969,0.9934172284533659,0.0007694078556096547,0.02770347701280219,0.020755177502749085,-0.11967057158398356,0.18546549880849372,0.11609259761035823
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,3.335673076432493e-07,0.0004326273395381129,0.00030394721055050276,0.9995140308341874,0.9998187336553871,0.0008343094821727447,0.02853479490684905,0.021591892667810145,-0.2728914200761448,0.12488363962298181,0.26597519683391213
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,3.636012497752549e-05,0.004285961215681047,0.003167705651793133,0.9502934530435644,0.9812839947755417,0.0009350846755973236,0.030330154929747298,0.023207039524517952,-0.3186205351130494,0.03730266869650076,0.3245211822043595
eng,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,4.3922229934937156e-05,0.0037661994610920886,0.002711291596794625,0.9373484466876487,0.972064314446221,0.0009127315046738972,0.030009642067993884,0.023120608858398485,-0.3437007595794343,-0.019903155910213965,0.3275869259973307
