lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_mse,mean_train_rmse,mean_train_mae,mean_train_r2,mean_train_corr,mean_validation_mse,mean_validation_rmse,mean_validation_mae,mean_validation_r2,mean_validation_corr,mean_p_value
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,1.0503909806301534e-06,0.0008712407440097656,0.0006352214362072295,0.9987607814375501,0.9996667746540144,0.0011120723770039855,0.03293972531664225,0.025189796835172022,-0.24453836588767022,0.09681695409926482,0.5149024625719761
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,3.822807229575587e-05,0.0031739833292574278,0.0024572834917929946,0.9621238781933196,0.9865047881357422,0.0011972100654795907,0.034429954045018335,0.02679347492984139,-0.34675215037818663,0.0029256635324542675,0.34087577910473177
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.00011908482970667473,0.007580101308609438,0.005559197149940754,0.8636694182883984,0.9410528327522545,0.0010029338004706025,0.030859852004778632,0.02335925932994367,-0.13271974570158473,0.14897101014215475,0.09780146066585872
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.00018050530059583636,0.010937206023380497,0.007923857776556749,0.8154801264259708,0.9227481864512243,0.0010889231410133918,0.032503341194392806,0.024160500528157974,-0.2030128579193713,0.05560560433406216,0.11237434973121377
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,0.0005657994435415211,0.02367531523640213,0.0167923556320551,0.38753826638368705,0.7184099500518958,0.0009392308062194446,0.03059423953168953,0.022380132488844122,-0.10483493347122422,0.0933818534329846,0.09949245631044593
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,0.0005805058890032683,0.024080292466213866,0.01703519324975819,0.3722822550754879,0.7198932773005822,0.0009069527021866693,0.030096387203013903,0.02211699223258053,-0.005445322600892278,0.16236384613708643,0.17590941090782164
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.00014002193366620543,0.010800549721648805,0.007799681745696627,0.8532583393238017,0.9558832634537205,0.0009494475972596309,0.03055328668976436,0.022923316345871636,-0.06774399060985588,0.08413510683361311,0.2717007157469701
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.0003882818525537044,0.017627193965169236,0.012418247606213859,0.5745195728138248,0.8070205298457814,0.0009511451865834089,0.03074358788929852,0.02257045796372378,-0.052483330193677256,0.12275781184631955,0.08019784684683634
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,3.524601385530803e-05,0.003016538193379878,0.002320444006099661,0.96058602146512,0.9859563125451682,0.001045610696521265,0.03190451468074239,0.02497214556774715,-0.19731734923934735,0.1424608315823745,0.20132152108030538
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,6.025168826469249e-07,0.0007022245320200017,0.0004887320338955805,0.9993755624228298,0.9998642016852124,0.0010809517023484384,0.032436340574852174,0.024558063803531528,-0.1839659706189795,0.05099118537643534,0.04177246751751141
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,5.073126532094326e-05,0.004676193741811581,0.00335356498903362,0.9428266312219268,0.9815535934244229,0.0010115271308796046,0.031307819803542365,0.023646001473476928,-0.15043213254189744,0.09155541811615528,0.060358546044227794
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,4.559107273725169e-05,0.0036566985520154237,0.0026991598129291533,0.948286698567405,0.9810369659450618,0.0010309126321062755,0.03141473525712291,0.02455878298595711,-0.16212209786016996,0.11199334451184953,0.14958069601696275
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,3.097670291822545e-05,0.003260648905812135,0.0022448401367124323,0.9687785694023822,0.9895716986807536,0.0010377473498580816,0.0313604642254949,0.024653552101099235,-0.32879220487296557,0.08422554531514732,0.03461316813382599
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,2.0772167995466703e-05,0.002247316392484113,0.0015860715281342803,0.97827878710742,0.993354666334678,0.001085242481031993,0.03246010144228176,0.025350781007147355,-0.1555955433756846,0.16582553323558963,0.24723085175509202
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,3.858221023581683e-05,0.003509424926774424,0.0022148679206750233,0.9533990896260611,0.9818591102928431,0.0010453117400408148,0.03174387798160461,0.023554959234912607,-0.19836825557021828,0.12787234187224472,0.2513874916745066
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,5.30464599474861e-05,0.004011509085311562,0.0025955208079782,0.9440766466846142,0.9784964904171527,0.0009730506909315491,0.030710390089472482,0.022359955705211564,-0.05838200442241033,0.15658389311378745,0.10543340239154313
