lang,model,features,drop_columns_including,dimensionality_reduction,model_param,mean_train_mse,mean_train_rmse,mean_train_mae,mean_train_r2,mean_train_corr,mean_validation_mse,mean_validation_rmse,mean_validation_mae,mean_validation_r2,mean_validation_corr,mean_p_value
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,3.4428911583378704e-05,0.003993956463771825,0.0028304743149027184,0.9713345419522303,0.9922832447923234,0.0013079745295812837,0.035843744209254104,0.025333757136755695,-0.1345946249246653,0.10414290279789225,0.26892410722510635
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,1.792027879173662e-05,0.0029890963364174634,0.0022080734386191745,0.9851149412291494,0.9967148751550189,0.0013287593082175176,0.03632049368253337,0.026402516875817388,-0.1921754294706477,0.12175522578464451,0.2523806684745514
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.0001270348607640058,0.007851189237224032,0.005554379898090353,0.9044961877849091,0.9672714471757148,0.0012874348489621094,0.035175578788395,0.025100429539552334,-0.24004161558316336,0.18893199668048774,0.06920335086851225
ger,xgboost,book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.00017122850507666966,0.011067982919915679,0.00792094186870284,0.8563394788701768,0.9470274515031678,0.0013486161640183722,0.036397433979677374,0.025989199407907504,-0.20742243754652107,0.1548068670927482,0.06884321725957665
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,0.0008336894804213465,0.02876711992439559,0.01972525245732204,0.3073477760904836,0.6559324411982567,0.0012985693859007355,0.03524973827340997,0.024534828324418147,-0.14185506177761692,-0.07673801395774067,0.5049950020844286
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,0.00040970040132055587,0.017883913386990878,0.012411767388166756,0.6764469855307894,0.8627084422493407,0.0013563989937805893,0.03645082418595665,0.025624494721860985,-0.19523312508399404,-0.13422493542737662,0.0905640250505049
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,0.0005354133566262602,0.02234636448309442,0.015477826459700172,0.5296721943695062,0.794016291040188,0.0013769881726575788,0.03578844978838617,0.025338890393935016,-0.24818351120309515,-0.20729077818565492,0.08949704789364903
ger,xgboost,chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,0.0007031160029049607,0.02633276684384011,0.018175583839104528,0.41166618820570167,0.7254720373728846,0.0013242733626514234,0.035929177963353064,0.024717784338580535,-0.15824699300515904,-0.036132334131648895,0.4537187646409607
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,5.274519889895769e-05,0.004411304297892897,0.0031810720351855247,0.956849153138314,0.9877337388607976,0.0014600119088435495,0.037897483437457816,0.02738820803023418,-0.37121146033337415,0.054174680508065856,0.1723127410205171
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,4.606384180603428e-06,0.001690316447846854,0.0011200176994952498,0.9957047065264044,0.9990908040093723,0.0013717173678794163,0.03664267319269606,0.025483491484680616,-0.1863200040187812,0.07545994164388345,0.15326948618791914
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,3.056806816643163e-05,0.004888517246969558,0.003534647726423621,0.9761705109028593,0.9953121045651212,0.0014783947809888832,0.037820915204255914,0.027761507265724305,-0.2966160074440133,-0.1021557694693666,0.44638906601614914
ger,xgboost,book_and_averaged_chunk,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,4.752430594190938e-06,0.0013831877295247719,0.0009682363437087243,0.9964454375675491,0.9993558918048571,0.0014953891517709313,0.03791535801373467,0.027413992229461122,-0.2783646705386279,-0.016454884542182503,0.40489822893676203
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding']",,,0.00015831947054612515,0.010168664646383876,0.006224722531229376,0.8728405352254349,0.9483658218901582,0.0013810659247110442,0.036275725860785146,0.02645547917706038,-0.189448724658236,0.04569606528193144,0.7731162810762015
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->']",,,7.322259450164867e-05,0.006627302094990746,0.003953472303778363,0.942140525926147,0.9780432206601114,0.001522926000045706,0.03878013640784729,0.026958055885297184,-0.34490419015499457,-0.040186377098215716,0.6231898229952061
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', 'pos']",,,8.5909952860831e-05,0.0063342605240843935,0.0037629298768012006,0.9305706031934656,0.9730972235735169,0.0013904206040584578,0.037060657147239835,0.026804153906951046,-0.21188635227138602,0.12197802024675455,0.24015960647393814
ger,xgboost,chunk_and_copied_book,"['average_sentence_embedding', '100_most_common_', 'doc2vec_chunk_embedding', '->', 'pos']",,,8.10572473911408e-05,0.005270210026004687,0.0031123571346585144,0.9309375009204318,0.9695845899994626,0.001310414007704794,0.036066373993224425,0.025741097699417636,-0.13202244184361406,0.19026065850270327,0.0981449420920794
