language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_book_acc	mean_validation_book_acc
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.542	0.532
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.542	0.532
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.542	0.532
eng	library	svc	0.1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.542	0.532
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.542	0.534
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.542	0.532
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.542	0.532
eng	library	svc	0.1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.542	0.532
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.541	0.524
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.541	0.524
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.541	0.524
eng	library	svc	1	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.541	0.524
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.541	0.526
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.542	0.526
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.542	0.526
eng	library	svc	1	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.542	0.524
eng	library	svc	10	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.531	0.514
eng	library	svc	10	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.531	0.514
eng	library	svc	10	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.531	0.514
eng	library	svc	10	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.531	0.514
eng	library	svc	10	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.53	0.512
eng	library	svc	10	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.53	0.512
eng	library	svc	10	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.53	0.512
eng	library	svc	10	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.53	0.51
eng	library	svc	100	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.528	0.522
eng	library	svc	100	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.529	0.522
eng	library	svc	100	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.529	0.522
eng	library	svc	100	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.529	0.521
eng	library	svc	100	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.526	0.524
eng	library	svc	100	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.526	0.524
eng	library	svc	100	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.526	0.524
eng	library	svc	100	library	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.526	0.524
eng	library	svc	1000	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.525	0.516
eng	library	svc	1000	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.525	0.516
eng	library	svc	1000	library	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.525	0.516
