language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_f1	mean_validation_f1
eng	multiclass	svc	0.1	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.2955294263585154	0.2594786882884039
eng	multiclass	svc	0.1	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.295541273792316	0.2594786882884039
eng	multiclass	svc	0.1	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.2954893173866732	0.2594786882884039
eng	multiclass	svc	0.1	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.2959950043914042	0.2594786882884039
eng	multiclass	svc	0.1	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.2960277872296457	0.2594786882884039
eng	multiclass	svc	0.1	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.2954893173866732	0.2594786882884039
eng	multiclass	svc	0.1	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.2960277872296457	0.2594786882884039
eng	multiclass	svc	0.1	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.29597969499608756	0.2594786882884039
eng	multiclass	svc	1.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.30857109682773554	0.2637354139292569
eng	multiclass	svc	1.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.3073474941026651	0.26399693286905573
eng	multiclass	svc	1.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.3080987184801986	0.2637354139292569
eng	multiclass	svc	1.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.30728360750089045	0.26588610776609384
eng	multiclass	svc	1.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.30881159555301213	0.26116238635622935
eng	multiclass	svc	1.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.30861637156704763	0.26116238635622935
eng	multiclass	svc	1.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.30881159555301213	0.26116238635622935
eng	multiclass	svc	1.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.3091193336721665	0.26399693286905573
eng	multiclass	svc	10.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.32675056894407445	0.3192579816813178
eng	multiclass	svc	10.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.32679793589492256	0.3215853090086451
eng	multiclass	svc	10.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.32681663817023	0.3192579816813178
eng	multiclass	svc	10.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.326562206190979	0.3239335302261526
eng	multiclass	svc	10.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.32788078666298404	0.3252590713986821
eng	multiclass	svc	10.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.32792765907991805	0.3252590713986821
eng	multiclass	svc	10.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.32788078666298404	0.3252590713986821
eng	multiclass	svc	10.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.3281717216971457	0.327712466549846
eng	multiclass	svc	100.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.3329361985570131	0.3172894527315454
eng	multiclass	svc	100.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.33294859141784017	0.31730936615145877
eng	multiclass	svc	100.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.3329361985570131	0.31627040511249777
eng	multiclass	svc	100.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.33080430840900993	0.3199397319579874
eng	multiclass	svc	100.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.33640901433830434	0.31832516521041593
eng	multiclass	svc	100.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.3364447951162882	0.31832516521041593
eng	multiclass	svc	100.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.3364514482725293	0.31832516521041593
eng	multiclass	svc	100.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.33513290174267996	0.3163031063868865
eng	multiclass	svc	1000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.3456765201314502	0.3252302136072405
eng	multiclass	svc	1000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.3455994829697346	0.3252302136072405
eng	multiclass	svc	1000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.34557316973459373	0.3252302136072405
eng	multiclass	svc	1000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.3459904263828301	0.3272400353840056
eng	multiclass	svc	1000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.3608260874795401	0.31699291288369147
eng	multiclass	svc	1000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.3608260874795401	0.31699291288369147
eng	multiclass	svc	1000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.3608260874795401	0.31699291288369147
eng	multiclass	svc	1000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.36119611370619237	0.3142788863107189
eng	multiclass	svc	10000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.3430786192298169	0.32055723330809915
eng	multiclass	svc	10000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.3436253860513455	0.32027712126328123
eng	multiclass	svc	10000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.3446610510512279	0.3211104545966145
eng	multiclass	svc	10000.0	multiclass	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.34323731016353926	0.32167809291067045
eng	multiclass	svc	10000.0	multiclass	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.3818372279240646	0.3045054982484302
