language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_f1	mean_validation_f1
eng	multiclass	svc	0.1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.295529	0.259479
eng	multiclass	svc	0.1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.295541	0.259479
eng	multiclass	svc	0.1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.295489	0.259479
eng	multiclass	svc	0.1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.295995	0.259479
eng	multiclass	svc	0.1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.296028	0.259479
eng	multiclass	svc	0.1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.295489	0.259479
eng	multiclass	svc	0.1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.296028	0.259479
eng	multiclass	svc	0.1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.29598	0.259479
eng	multiclass	svc	1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.308571	0.263735
eng	multiclass	svc	1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.307347	0.263997
eng	multiclass	svc	1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.308099	0.263735
eng	multiclass	svc	1	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.307284	0.265886
eng	multiclass	svc	1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.308812	0.261162
eng	multiclass	svc	1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.308616	0.261162
eng	multiclass	svc	1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.308812	0.261162
eng	multiclass	svc	1	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.309119	0.263997
eng	multiclass	svc	10	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.326751	0.319258
eng	multiclass	svc	10	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.326798	0.321585
eng	multiclass	svc	10	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.326817	0.319258
eng	multiclass	svc	10	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.326562	0.323934
eng	multiclass	svc	10	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.327881	0.325259
eng	multiclass	svc	10	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.327928	0.325259
eng	multiclass	svc	10	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.327881	0.325259
eng	multiclass	svc	10	multiclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->', 'pos']	0.328172	0.327712
eng	multiclass	svc	100	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.332936	0.317289
eng	multiclass	svc	100	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.332949	0.317309
eng	multiclass	svc	100	multiclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', '->']	0.332936	0.31627
