file_name,y,yhat
Alexis_Willibald_Cabanis_1830,1.0,1.0
Alexis_Willibald_Der-Roland-von-Berlin_1840,1.0,1.0
Alexis_Willibald_Der-falsche-Woldemar_1842,1.0,1.0
Alexis_Willibald_Die-Hosen-des-Herrn-von-Bredow_1846,0.0,1.0
Alexis_Willibald_Isegrimm_1854,1.0,1.0
Alexis_Willibald_Ruhe-ist-die-erste-Buergerpflicht_1852,1.0,1.0
Alexis_Willibald_Schloss-Avalon_1826,1.0,1.0
Alexis_Willibald_Walladmor_1824,1.0,1.0
Andreas-Salome_Lou_Eine-Ausschweifung_1898,0.0,0.0
Andreas-Salome_Lou_Fenitschka_1898,0.0,0.0
Franzos_Karl-Emil_Ein-Kampf-ums-Recht_1882,1.0,1.0
Franzos_Karl-Emil_Leib-Weihnachtskuchen-und-sein-Kind_1896,0.0,1.0
Franzos_Karl-Emil_Moschko-von-Parma_1880,1.0,1.0
Gerstaecker_Friedrich_Die-Flusspiraten-vom-Mississipi_1838,0.0,1.0
Gerstaecker_Friedrich_Regulatoren-in-Arkansas_1846,1.0,1.0
Gotthelf_Jeremias_Das-Erdbeermareili_1851,0.0,0.0
Gotthelf_Jeremias_Der-Bauernspiegel_1837,0.0,1.0
Gotthelf_Jeremias_Die-Kaeserei-in-der-Vehfreude_1850,0.0,1.0
Gotthelf_Jeremias_Die-schwarze-Spinne_1842,1.0,0.0
Gotthelf_Jeremias_Elsi-die-seltsame-Magd_1843,0.0,0.0
Gotthelf_Jeremias_Geld-und-Geist_1843,0.0,1.0
Gotthelf_Jeremias_Jakobs-des-Handwerksgesellen-Wanderungen-durch-die-Schweiz_1846,0.0,1.0
Gotthelf_Jeremias_Kaethi-die-Grossmutter_1847,0.0,1.0
Gotthelf_Jeremias_Kurt-von-Koppingen_1842,0.0,0.0
Gotthelf_Jeremias_Leiden-und-Freuden-eines-Schulmeisters_1838,0.0,1.0
Gotthelf_Jeremias_Uli-der-Knecht_1841,1.0,1.0
Gotthelf_Jeremias_Uli-der-Paechter_1849,1.0,1.0
Gotthelf_Jeremias_Wie-Anne-Baebi-Jowaeger-haushaltet-und-wie-es-ihm-mit-dem-Doktern-geht_1843,1.0,1.0
Gotthelf_Jeremias_Wie-fuenf-Maedchen-im-Branntwein-jaemmerlich-umkommen_1838,0.0,0.0
Grillparzer_Franz_Das-Kloster-von-Sendomir_1828,0.0,0.0
Grillparzer_Franz_Der-arme-Spielmann_1847,0.0,0.0
Hauptmann_Gerhart_Bahnwaerter-Thiel_1888,0.0,0.0
Heyse_Paul_Am-Tiberufer_1855,0.0,0.0
Heyse_Paul_Andrea-Delfin_1862,1.0,0.0
Heyse_Paul_Beatrice_1867,0.0,0.0
Heyse_Paul_Die-Blinden_1855,0.0,0.0
Heyse_Paul_Die-bessere-Welt_1914,0.0,0.0
Heyse_Paul_Fanchette_1914,0.0,0.0
Heyse_Paul_L-Arrabbiata_1855,0.0,0.0
Heyse_Paul_Marion_1855,0.0,0.0
Heyse_Paul_Unwiederbringlich_1914,0.0,0.0
Hoffmansthal_Hugo-von_Ein-Brief_1902,0.0,0.0
Hoffmansthal_Hugo-von_Reitergeschichte_1899,0.0,0.0
Hoffmansthal_Hugo_Andreas-oder-die-Vereinigten_1907,0.0,0.0
Hoffmansthal_Hugo_Das-Maerchen-der-672-Nacht_1895,0.0,0.0
Huber_Therese_Familie-Seldorf_1795,1.0,1.0
Keller_Gottfried_Das-Faehnlein-der-sieben-Aufrechten_1878,0.0,0.0
Keller_Gottfried_Das-Sinngedicht_1882,0.0,1.0
Keller_Gottfried_Der-Gruene-Heinrich_1854,0.0,1.0
Keller_Gottfried_Der-Landvogt-von-Greifensee_1877,0.0,0.0
Keller_Gottfried_Der-Schmied-seine-Gluecks_1856,0.0,0.0
Keller_Gottfried_Die-Leute-von-Seldwyla_1856,0.0,1.0
Keller_Gottfried_Frau-Regel-Amrain-und-ihr-Juengster_1855,0.0,0.0
Keller_Gottfried_Hadlaub_1876,0.0,0.0
Keller_Gottfried_Kleider-machen-Leute_1874,0.0,0.0
Keller_Gottfried_Martin-Salander_1886,1.0,1.0
Keller_Gottfried_Pankraz_1856,0.0,0.0
Keller_Gottfried_Romeo-und-Julia-von-dem-Dorfe_1856,0.0,0.0
Keller_Gottfried_Sieben-Legenden_1872,0.0,0.0
Keller_Gottfried_Spiegel-das-Kaetzchen_1856,0.0,0.0
Keller_Gottfried_Ursula_1877,0.0,0.0
Klingemann_August_Nachtwachen-des-Bonaventure_1804,0.0,0.0
Klinger_Friedrich_Der-Faust-der-Morgenlaender_1797,0.0,1.0
Klinger_Friedrich_Fausts-Leben-Thaten-und-Hoellenfahrt_1791,1.0,1.0
Kurz_Hermann_Der-Sonnenwirt_1856,1.0,1.0
Mackay_John-Henry_Die-Anarchisten_1891,0.0,1.0
Mereau_Sophie_Amanda-und-Eduard_1803,0.0,1.0
Mereau_Sophie_Bluethenalter-der-Empfindung_1794,1.0,0.0
Moritz_Karl-Philipp_Anton-Reiser_1785,1.0,1.0
Motte-Fouque_Caroline_Rodrich_1807,1.0,1.0
Naubert_Benedikte_Der-Amtmann-von-Hohenweiler_1787,1.0,1.0
Przybyszewski_Stanislaw_Androgyne_1906,0.0,0.0
Przybyszewski_Stanislaw_De-Profundis_1895,0.0,0.0
Przybyszewski_Stanislaw_Totenmesse_1893,1.0,0.0
Saar_Ferdinand_Der-Exzellenzherr_1878,0.0,0.0
Saar_Ferdinand_Der-Hellene_1904,0.0,0.0
Saar_Ferdinand_Der-Steinklopfer_1874,1.0,0.0
Saar_Ferdinand_Die-Familie-Worel_1906,0.0,0.0
Saar_Ferdinand_Die-Geigerin_1875,1.0,0.0
Saar_Ferdinand_Die-Pfruendner_1906,0.0,0.0
Saar_Ferdinand_Die-Troglodytin_1889,0.0,0.0
Saar_Ferdinand_Geschichten-eines-Wienerkindes_1891,0.0,0.0
Saar_Ferdinand_Herr-Fridolin-und-sein-Glueck_1897,0.0,0.0
Saar_Ferdinand_Hymen_1908,0.0,0.0
Saar_Ferdinand_Innocens_1865,1.0,0.0
Saar_Ferdinand_Leutnant-Burda_1887,1.0,0.0
Saar_Ferdinand_Ninon_1892,0.0,0.0
Saar_Ferdinand_Requiem-der-Liebe_1897,0.0,0.0
Saar_Ferdinand_Sappho_1906,0.0,0.0
Saar_Ferdinand_Schloss-Kostenitz_1892,1.0,0.0
Saar_Ferdinand_Tambi_1882,0.0,0.0
Saar_Ferdinand_Vae-victis_1883,1.0,0.0
Sacher-Masoch_Leopold_Don-Juan-von-Kolomea_1866,0.0,0.0
Sacher-Masoch_Leopold_Lola_1907,0.0,0.0
Sacher-Masoch_Leopold_Moses-Goldfarb-und-sein-Haus_1878,0.0,0.0
Sacher-Masoch_Leopold_Venus-im-Pelz_1869,0.0,0.0
Schloegl_Friedrich_Wiener-Blut_1873,0.0,1.0
Suttner_Bertha-von_Die-Waffen-nieder_1889,1.0,1.0
Viebig_Clara_Das-Weiberdorf_1900,1.0,1.0
Vulpius_Christian-August_Rinaldo-Rinaldini_1799,0.0,1.0
Wienbarg_Ludolph_Aesthetische-Feldzuege_1834,1.0,1.0
Anzengruber_Ludwig_Der-Sternsteinhof_1885,1.0,1.0
Bahr_Hermann_Die-gute-Schule_1890,1.0,0.0
Beer-Hofmann_Richard_Der-Tod-Georgs_1900,0.0,0.0
Braeker_Ulrich_Lebensgeschichte_1789,1.0,1.0
Conrad_Michael-Georg_Die-Beichte-der-Narren_1893,0.0,0.0
Conrad_Michael-Georg_Die-klugen-Jungfrauen_1889,0.0,1.0
Conrad_Michael-Georg_Was-die-Isar-rauscht_1887,1.0,1.0
Conradi_Hermann_Adam-Mensch_1889,0.0,1.0
Dronke_Ernst_Polizeigeschichten_1846,1.0,0.0
Duncker_Dora_Marquise-von-Pompadur_1913,0.0,1.0
Ebner-Eschenbach_Marie_Bozena_1876,0.0,1.0
Ebner-Eschenbach_Marie_Das-Gemeindekind_1887,1.0,1.0
Ebner-Eschenbach_Marie_Das-Schaedliche_1894,0.0,0.0
Ebner-Eschenbach_Marie_Der-Kreisphysikus_1883,1.0,0.0
Ebner-Eschenbach_Marie_Der-Muff_1896,0.0,0.0
