language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_acc	mean_train_balanced_acc	mean_validation_acc	mean_validation_balanced_acc
ger	library	svc	0.1	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.575	0.591	0.56	0.576
ger	library	svc	0.1	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.576	0.591	0.558	0.574
ger	library	svc	0.1	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.574	0.59	0.56	0.576
ger	library	svc	0.1	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.575	0.591	0.56	0.576
ger	library	svc	1.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.594	0.604	0.571	0.58
ger	library	svc	1.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.594	0.604	0.571	0.58
ger	library	svc	1.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.595	0.604	0.571	0.58
ger	library	svc	1.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.595	0.604	0.569	0.578
ger	library	svc	10.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.596	0.604	0.59	0.595
ger	library	svc	10.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.596	0.603	0.59	0.595
ger	library	svc	10.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.596	0.604	0.591	0.597
ger	library	svc	10.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.596	0.604	0.59	0.595
ger	library	svc	100.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.594	0.603	0.573	0.582
ger	library	svc	100.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.595	0.604	0.577	0.585
ger	library	svc	100.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.594	0.603	0.573	0.582
ger	library	svc	100.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.594	0.603	0.573	0.582
ger	library	svc	1000.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.598	0.605	0.582	0.588
ger	library	svc	1000.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.599	0.606	0.582	0.588
ger	library	svc	1000.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.599	0.607	0.575	0.582
ger	library	svc	1000.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.6	0.607	0.575	0.582
ger	library	svc	10000.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.601	0.607	0.588	0.592
ger	library	svc	10000.0	library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.601	0.606	0.588	0.592
ger	library	svc	10000.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.602	0.608	0.582	0.588
ger	library	svc	10000.0	library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.603	0.609	0.582	0.588
ger	library	xgboost		library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.897	0.897	0.524	0.52
ger	library	xgboost		library	book		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.752	0.753	0.531	0.53
ger	library	xgboost		library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.864	0.863	0.537	0.529
ger	library	xgboost		library	baac		['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.744	0.738	0.557	0.553
