language	target	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_mse	mean_train_rmse	mean_train_mae	mean_train_r2	mean_train_corr	mean_validation_mse	mean_validation_rmse	mean_validation_mae	mean_validation_r2	mean_validation_corr	mean_p_value
ger	regression	xgboost	None	textblob	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.005	0.004	0.939	0.98	0.002	0.041	0.028	-0.801	-0.02	0.285
ger	regression	xgboost	None	textblob	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.009	0.007	0.886	0.959	0.002	0.04	0.028	-0.634	-0.108	0.11
ger	regression	xgboost	None	textblob	chunk	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.007	0.005	0.943	0.984	0.001	0.037	0.026	-0.267	-0.222	0.108
ger	regression	xgboost	None	textblob	chunk	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.001	0.027	0.019	0.355	0.65	0.001	0.037	0.026	-0.254	-0.044	0.344
ger	regression	xgboost	None	textblob	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.002	0.002	0.987	0.996	0.002	0.039	0.028	-0.59	0.049	0.042
ger	regression	xgboost	None	textblob	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.008	0.005	0.895	0.959	0.002	0.042	0.03	-0.694	-0.173	0.125
ger	regression	xgboost	None	textblob	cacb	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.0	0.0	1.0	1.0	0.002	0.04	0.028	-0.464	-0.128	0.006
ger	regression	xgboost	None	textblob	cacb	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.001	0.001	0.998	0.999	0.002	0.038	0.027	-0.423	0.047	0.281
ger	regression	xgboost	None	sentiart	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.002	0.002	0.98	0.994	0.001	0.03	0.024	-0.175	0.141	0.3
ger	regression	xgboost	None	sentiart	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.005	0.004	0.92	0.969	0.001	0.03	0.023	-0.155	0.198	0.041
ger	regression	xgboost	None	sentiart	chunk	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.009	0.007	0.822	0.923	0.001	0.03	0.023	-0.107	0.101	0.248
ger	regression	xgboost	None	sentiart	chunk	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.015	0.011	0.703	0.888	0.001	0.029	0.022	-0.12	0.106	0.189
ger	regression	xgboost	None	sentiart	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.001	0.001	0.99	0.997	0.001	0.031	0.024	-0.24	0.141	0.207
ger	regression	xgboost	None	sentiart	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.001	0.0	0.999	1.0	0.001	0.03	0.023	-0.206	0.171	0.147
ger	regression	xgboost	None	sentiart	cacb	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.007	0.005	0.89	0.968	0.001	0.03	0.023	-0.223	0.087	0.176
ger	regression	xgboost	None	sentiart	cacb	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.002	0.001	0.962	0.984	0.001	0.03	0.023	-0.221	0.031	0.06
ger	regression	xgboost	None	combined	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.0	0.0	0.0	1.0	1.0	0.001	0.03	0.023	-0.387	0.005	0.251
ger	regression	xgboost	None	combined	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.0	0.004	0.003	0.92	0.972	0.001	0.029	0.021	-0.35	0.069	0.219
