language	task_type	model	model_param	labels_string	features_string	dimensionality_reduction	drop_columns	mean_train_acc	mean_train_balanced_acc	mean_validation_acc	mean_validation_balanced_acc
ger	twoclass	svc	0.1	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.621	0.596	0.62	0.598
ger	twoclass	svc	0.1	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.621	0.597	0.62	0.598
ger	twoclass	svc	0.1	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.621	0.596	0.62	0.598
ger	twoclass	svc	0.1	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.622	0.597	0.62	0.598
ger	twoclass	svc	1	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.609	0.616	0.601	0.603
ger	twoclass	svc	1	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.607	0.614	0.599	0.601
ger	twoclass	svc	1	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.608	0.615	0.599	0.601
ger	twoclass	svc	1	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.607	0.615	0.599	0.601
ger	twoclass	svc	10	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.599	0.624	0.587	0.617
ger	twoclass	svc	10	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.6	0.624	0.587	0.617
ger	twoclass	svc	10	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.601	0.625	0.593	0.621
ger	twoclass	svc	10	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.6	0.624	0.593	0.621
ger	twoclass	svc	100	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.602	0.63	0.571	0.604
ger	twoclass	svc	100	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.602	0.629	0.573	0.605
ger	twoclass	svc	100	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.604	0.632	0.577	0.607
ger	twoclass	svc	100	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.604	0.632	0.577	0.607
ger	twoclass	svc	1000	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.608	0.623	0.597	0.611
ger	twoclass	svc	1000	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.608	0.623	0.595	0.609
ger	twoclass	svc	1000	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.613	0.631	0.589	0.604
ger	twoclass	svc	1000	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.612	0.629	0.591	0.605
ger	twoclass	svc	10000	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.604	0.626	0.591	0.616
ger	twoclass	svc	10000	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.603	0.624	0.591	0.617
ger	twoclass	svc	10000	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.626	0.641	0.595	0.608
ger	twoclass	svc	10000	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.628	0.644	0.591	0.604
ger	twoclass	xgboost	None	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.998	0.998	0.627	0.54
ger	twoclass	xgboost	None	twoclass	book	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.989	0.991	0.628	0.57
ger	twoclass	xgboost	None	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding']	0.999	0.999	0.626	0.533
ger	twoclass	xgboost	None	twoclass	baac	None	['average_sentence_embedding', 'doc2vec_chunk_embedding', 'pos']	0.986	0.99	0.62	0.555
