,value,count
0,Burney_Frances_all_1792,56
1,Smith_Charlotte_all_1791,56
2,Inchbald_Elizabeth_all_1794,55
3,Opie_Amelia_all_1802,53
4,Roche_Regina-Maria_all_1796,48
5,Brunton_Mary_all_1812,47
6,Haywood_Eliza_all_1735,46
7,Fielding_Sarah_all_1752,45
8,Scott_Sarah_all_1762,44
9,Lennox_Charlotte_all_1752,33
10,Bennett_Anna-Maria_all_1789,32
11,Parsons_Eliza_all_1793,29
12,Fenwick_Eliza_all_1795,25
13,Barker_Jane_all_1719,25
14,Fielding_Henry_all_1745,22
15,Hughes_Thomas_all_1857,22
16,Aubin_Penelope_all_1723,21
17,Sheridan_Frances_all_1764,21
18,Georgiana_Duchess-of-Devonshire_all_1773,20
19,Hume_Fergus_all_1886,19
20,Anonymous_Anonymous_The-Triumph-Prudence-Over-Passion_1781,19
21,Munro_Neil_all_1914,19
22,Sims_George_all_1892,18
23,Kickham_Charles_all_1879,18
24,Brooke_Frances_all_1766,18
25,Maclaren_Ian_all_1894,18
26,Richardson_Samuel_all_1747,18
27,Goldsmith_Oliver_all_1766,18
28,Brown_George-Douglas_all_1901,17
29,Grahame_Kenneth_all_1908,17
30,Smollett_Tobias_all_1757,17
31,Hays_Mary_all_1796,16
32,Holcroft_Thomas_all_1793,16
33,Crockett_S-R_all_1896,14
34,Radcliffe_Ann_all_1793,14
35,Lamb_Caroline_all_1816,14
36,Godwin_William_all_1799,14
37,Anonymous_Anonymous_The-Adventures-of-Anthony-Varnish_1786,14
38,Wollstonecraft_Mary_all_1788,13
39,Edwards_Amelia_all_1864,13
40,Lewis_Matthew-Gregory_all_1796,13
41,Morrison_Arthur_all_1895,13
42,Johnson_Samuel_all_1759,12
43,Galbraith_Lettice_all_1893,12
44,Swift_Jonathan_all_1716,12
45,OGrady_Standish_all_1886,12
46,Morier_James_all_1824,11
47,Anonymous_Anonymous_Vertue-Rewarded_1693,10
48,Quincey_Thomas_all_1821,10
49,MacDonald_George_all_1870,10
50,Le-Queux_William_all_1906,10
51,Buchan_John_all_1897,9
52,Carleton_William_all_1833,9
53,Lamb_Charles_all_1807,9
